User_id,Login,Nombres,ApellidoPaterno,ApellidoMaterno,Password,TipoUser_id,Status,fCreate,IDArea,LastLoginAttempt,,,,
1,root,Application, administrator,,55BEA0B8D7682CEB26F9140FAF9A69CD,2,1,6/19/2009 17:46,1,10/3/2024 13:28,,,,
2,adriAdmin,adriAdmin,adriAdmin,adriAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,6/4/2024 12:55,1,6/4/2024 12:54,,,,
3,agarciaAdmin,agarciaAdmin,agarciaAdmin,agarciaAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,6/4/2024 12:55,1,6/4/2024 12:54,,,,
4,agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,agonzalezAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,6/4/2024 12:55,1,6/4/2024 12:54,,,,
5,alanAdmin,alanAdmin,alanAdmin,alanAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,6/4/2024 12:55,1,6/4/2024 12:54,,,,
6,alexAdmin,alexAdmin,alexAdmin,alexAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,6/4/2024 12:55,1,6/4/2024 12:54,,,,
7,armandAdmin,armandAdmin,armandAdmin,armandAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,6/4/2024 12:55,1,6/4/2024 12:54,,,,
8,carlosAdmin,carlosAdmin,carlosAdmin,carlosAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,6/4/2024 12:55,1,6/4/2024 12:54,,,,
9,cechavezAdmin,cechavezAdmin,cechavezAdmin,cechavezAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,6/4/2024 12:55,1,6/4/2024 12:54,,,,
10,charlesAdmin,charlesAdmin,charlesAdmin,charlesAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,6/4/2024 12:55,1,6/4/2024 12:54,,,,
11,daniAdmin,daniAdmin,daniAdmin,daniAdmin,0CC175B9C0F1B6A831C399E269772661,2,2,6/4/2024 12:55,1,6/4/2024 12:54,,,,
12,davidAdmin,davidAdmin,davidAdmin,davidAdmin,0CC175B9C0F1B6A831C399E269772661,2,3,6/4/2024 12:55,1,6/4/2024 12:54,,,,
13,efloresAdmin,efloresAdmin,efloresAdmin,efloresAdmin,0CC175B9C0F1B6A831C399E269772661,2,1,6/4/2024 12:55,1,6/4/2024 12:54,,,,
